Precinct,0_HISP_noise,1_HISP_noise,2_HISP_noise,3_HISP_noise,4_HISP_noise,5_HISP_noise,6_HISP_noise,7_HISP_noise,8_HISP_noise,9_HISP_noise,10_HISP_noise,11_HISP_noise,12_HISP_noise,13_HISP_noise,14_HISP_noise,15_HISP_noise,0_NHWHITE_noise,1_NHWHITE_noise,2_NHWHITE_noise,3_NHWHITE_noise,4_NHWHITE_noise,5_NHWHITE_noise,6_NHWHITE_noise,7_NHWHITE_noise,8_NHWHITE_noise,9_NHWHITE_noise,10_NHWHITE_noise,11_NHWHITE_noise,12_NHWHITE_noise,13_NHWHITE_noise,14_NHWHITE_noise,15_NHWHITE_noise,0_NHBLACK_noise,1_NHBLACK_noise,2_NHBLACK_noise,3_NHBLACK_noise,4_NHBLACK_noise,5_NHBLACK_noise,6_NHBLACK_noise,7_NHBLACK_noise,8_NHBLACK_noise,9_NHBLACK_noise,10_NHBLACK_noise,11_NHBLACK_noise,12_NHBLACK_noise,13_NHBLACK_noise,14_NHBLACK_noise,15_NHBLACK_noise,0_NHAMIN_noise,1_NHAMIN_noise,2_NHAMIN_noise,3_NHAMIN_noise,4_NHAMIN_noise,5_NHAMIN_noise,6_NHAMIN_noise,7_NHAMIN_noise,8_NHAMIN_noise,9_NHAMIN_noise,10_NHAMIN_noise,11_NHAMIN_noise,12_NHAMIN_noise,13_NHAMIN_noise,14_NHAMIN_noise,15_NHAMIN_noise,0_NHASIAN_noise,1_NHASIAN_noise,2_NHASIAN_noise,3_NHASIAN_noise,4_NHASIAN_noise,5_NHASIAN_noise,6_NHASIAN_noise,7_NHASIAN_noise,8_NHASIAN_noise,9_NHASIAN_noise,10_NHASIAN_noise,11_NHASIAN_noise,12_NHASIAN_noise,13_NHASIAN_noise,14_NHASIAN_noise,15_NHASIAN_noise,0_NHHAWAIIAN_noise,1_NHHAWAIIAN_noise,2_NHHAWAIIAN_noise,3_NHHAWAIIAN_noise,4_NHHAWAIIAN_noise,5_NHHAWAIIAN_noise,6_NHHAWAIIAN_noise,7_NHHAWAIIAN_noise,8_NHHAWAIIAN_noise,9_NHHAWAIIAN_noise,10_NHHAWAIIAN_noise,11_NHHAWAIIAN_noise,12_NHHAWAIIAN_noise,13_NHHAWAIIAN_noise,14_NHHAWAIIAN_noise,15_NHHAWAIIAN_noise,0_NHOTHER_noise,1_NHOTHER_noise,2_NHOTHER_noise,3_NHOTHER_noise,4_NHOTHER_noise,5_NHOTHER_noise,6_NHOTHER_noise,7_NHOTHER_noise,8_NHOTHER_noise,9_NHOTHER_noise,10_NHOTHER_noise,11_NHOTHER_noise,12_NHOTHER_noise,13_NHOTHER_noise,14_NHOTHER_noise,15_NHOTHER_noise,0_HVAP_noise,1_HVAP_noise,2_HVAP_noise,3_HVAP_noise,4_HVAP_noise,5_HVAP_noise,6_HVAP_noise,7_HVAP_noise,8_HVAP_noise,9_HVAP_noise,10_HVAP_noise,11_HVAP_noise,12_HVAP_noise,13_HVAP_noise,14_HVAP_noise,15_HVAP_noise,0_WVAP_noise,1_WVAP_noise,2_WVAP_noise,3_WVAP_noise,4_WVAP_noise,5_WVAP_noise,6_WVAP_noise,7_WVAP_noise,8_WVAP_noise,9_WVAP_noise,10_WVAP_noise,11_WVAP_noise,12_WVAP_noise,13_WVAP_noise,14_WVAP_noise,15_WVAP_noise,0_BVAP_noise,1_BVAP_noise,2_BVAP_noise,3_BVAP_noise,4_BVAP_noise,5_BVAP_noise,6_BVAP_noise,7_BVAP_noise,8_BVAP_noise,9_BVAP_noise,10_BVAP_noise,11_BVAP_noise,12_BVAP_noise,13_BVAP_noise,14_BVAP_noise,15_BVAP_noise,0_AMINVAP_noise,1_AMINVAP_noise,2_AMINVAP_noise,3_AMINVAP_noise,4_AMINVAP_noise,5_AMINVAP_noise,6_AMINVAP_noise,7_AMINVAP_noise,8_AMINVAP_noise,9_AMINVAP_noise,10_AMINVAP_noise,11_AMINVAP_noise,12_AMINVAP_noise,13_AMINVAP_noise,14_AMINVAP_noise,15_AMINVAP_noise,0_ASIANVAP_noise,1_ASIANVAP_noise,2_ASIANVAP_noise,3_ASIANVAP_noise,4_ASIANVAP_noise,5_ASIANVAP_noise,6_ASIANVAP_noise,7_ASIANVAP_noise,8_ASIANVAP_noise,9_ASIANVAP_noise,10_ASIANVAP_noise,11_ASIANVAP_noise,12_ASIANVAP_noise,13_ASIANVAP_noise,14_ASIANVAP_noise,15_ASIANVAP_noise,0_HAWAIIANVAP_noise,1_HAWAIIANVAP_noise,2_HAWAIIANVAP_noise,3_HAWAIIANVAP_noise,4_HAWAIIANVAP_noise,5_HAWAIIANVAP_noise,6_HAWAIIANVAP_noise,7_HAWAIIANVAP_noise,8_HAWAIIANVAP_noise,9_HAWAIIANVAP_noise,10_HAWAIIANVAP_noise,11_HAWAIIANVAP_noise,12_HAWAIIANVAP_noise,13_HAWAIIANVAP_noise,14_HAWAIIANVAP_noise,15_HAWAIIANVAP_noise,0_OTHERVAP_noise,1_OTHERVAP_noise,2_OTHERVAP_noise,3_OTHERVAP_noise,4_OTHERVAP_noise,5_OTHERVAP_noise,6_OTHERVAP_noise,7_OTHERVAP_noise,8_OTHERVAP_noise,9_OTHERVAP_noise,10_OTHERVAP_noise,11_OTHERVAP_noise,12_OTHERVAP_noise,13_OTHERVAP_noise,14_OTHERVAP_noise,15_OTHERVAP_noise,0_VAP_noise,1_VAP_noise,2_VAP_noise,3_VAP_noise,4_VAP_noise,5_VAP_noise,6_VAP_noise,7_VAP_noise,8_VAP_noise,9_VAP_noise,10_VAP_noise,11_VAP_noise,12_VAP_noise,13_VAP_noise,14_VAP_noise,15_VAP_noise
1670103,102.0,175.0,152.0,152.0,251.0,189.0,161.0,114.0,338.0,105.0,189.0,181.0,288.0,170.0,186.0,239.0,1275.0,1045.0,1115.0,1104.0,1125.0,1259.0,963.0,1290.0,1118.0,1068.0,1368.0,1132.0,1318.0,1083.0,1141.0,1150.0,0.0,9.0,0.0,0.0,58.0,0.0,5.0,0.0,11.0,16.0,23.0,0.0,31.0,0.0,39.0,54.0,0.0,0.0,57.0,4.0,0.0,21.0,0.0,35.0,15.0,62.0,0.0,47.0,32.0,0.0,5.0,0.0,0.0,21.0,32.0,0.0,15.0,12.0,0.0,13.0,19.0,21.0,9.0,15.0,10.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,30.0,15.0,19.0,27.0,44.0,0.0,0.0,22.0,0.0,0.0,6.0,13.0,2.0,10.0,101.0,104.0,91.0,111.0,150.0,131.0,107.0,75.0,268.0,66.0,106.0,51.0,185.0,88.0,106.0,178.0,1128.0,898.0,1016.0,1013.0,1023.0,1123.0,839.0,1084.0,985.0,988.0,1226.0,1029.0,1115.0,907.0,1061.0,999.0,0.0,9.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,4.0,0.0,39.0,46.0,0.0,0.0,8.0,0.0,0.0,21.0,0.0,19.0,15.0,62.0,0.0,0.0,32.0,0.0,5.0,0.0,0.0,21.0,32.0,0.0,11.0,0.0,0.0,13.0,19.0,14.0,9.0,15.0,0.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,18.0,0.0,0.0,27.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,1249.0,1036.0,1165.0,1124.0,1242.0,1302.0,981.0,1191.0,1287.0,1146.0,1341.0,1095.0,1336.0,1019.0,1217.0,1230.0
1670104,178.0,227.0,224.0,205.0,175.0,119.0,231.0,309.0,131.0,173.0,147.0,249.0,143.0,269.0,214.0,83.0,656.0,866.0,874.0,849.0,759.0,672.0,1000.0,757.0,835.0,836.0,633.0,888.0,698.0,945.0,739.0,766.0,0.0,39.0,0.0,0.0,18.0,15.0,0.0,0.0,32.0,12.0,0.0,0.0,14.0,0.0,0.0,8.0,0.0,0.0,40.0,71.0,6.0,5.0,0.0,18.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,15.0,10.0,0.0,5.0,0.0,0.0,0.0,31.0,16.0,8.0,8.0,25.0,3.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,3.0,21.0,83.0,13.0,0.0,21.0,33.0,22.0,0.0,21.0,0.0,0.0,32.0,19.0,8.0,72.0,148.0,124.0,173.0,84.0,69.0,91.0,188.0,124.0,68.0,88.0,157.0,78.0,212.0,86.0,39.0,612.0,831.0,708.0,761.0,650.0,578.0,912.0,694.0,755.0,754.0,582.0,779.0,656.0,834.0,628.0,715.0,0.0,9.0,0.0,0.0,18.0,15.0,0.0,0.0,32.0,0.0,0.0,0.0,14.0,0.0,0.0,8.0,0.0,0.0,19.0,0.0,1.0,5.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,9.0,0.0,5.0,0.0,0.0,0.0,31.0,0.0,8.0,0.0,0.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,3.0,14.0,12.0,13.0,0.0,21.0,33.0,22.0,0.0,0.0,0.0,0.0,28.0,19.0,2.0,709.0,1006.0,874.0,946.0,771.0,667.0,1024.0,933.0,964.0,822.0,678.0,936.0,748.0,1075.0,776.0,765.0
1670105,129.0,81.0,77.0,158.0,193.0,119.0,126.0,139.0,147.0,156.0,149.0,130.0,94.0,46.0,171.0,151.0,807.0,701.0,766.0,858.0,806.0,865.0,855.0,841.0,847.0,731.0,780.0,802.0,881.0,828.0,840.0,813.0,40.0,0.0,13.0,0.0,51.0,18.0,15.0,0.0,5.0,70.0,60.0,16.0,17.0,86.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,37.0,0.0,0.0,0.0,12.0,0.0,9.0,0.0,13.0,0.0,0.0,28.0,67.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,21.0,0.0,0.0,17.0,0.0,27.0,0.0,4.0,14.0,26.0,0.0,0.0,0.0,26.0,9.0,22.0,129.0,81.0,74.0,146.0,133.0,119.0,85.0,139.0,146.0,152.0,144.0,122.0,94.0,46.0,134.0,151.0,807.0,681.0,766.0,842.0,789.0,858.0,855.0,821.0,829.0,724.0,780.0,783.0,849.0,828.0,819.0,813.0,40.0,0.0,13.0,0.0,51.0,18.0,15.0,0.0,2.0,70.0,60.0,2.0,17.0,86.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.0,0.0,0.0,0.0,12.0,0.0,9.0,0.0,6.0,0.0,0.0,28.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,6.0,0.0,0.0,17.0,0.0,27.0,0.0,4.0,14.0,7.0,0.0,0.0,0.0,26.0,7.0,22.0,991.0,799.0,853.0,1005.0,973.0,1034.0,955.0,980.0,991.0,960.0,984.0,907.0,988.0,1026.0,1014.0,986.0
1670142,1217.0,1137.0,1279.0,1524.0,1443.0,1437.0,1476.0,1291.0,1418.0,1050.0,1304.0,1453.0,1404.0,1177.0,1304.0,1332.0,2509.0,2410.0,2169.0,2517.0,2247.0,2396.0,2308.0,2230.0,2551.0,2254.0,2392.0,2602.0,2269.0,2207.0,2306.0,2163.0,551.0,585.0,578.0,516.0,686.0,726.0,766.0,750.0,559.0,633.0,563.0,580.0,499.0,589.0,640.0,450.0,21.0,21.0,0.0,0.0,0.0,0.0,18.0,3.0,10.0,33.0,0.0,3.0,26.0,20.0,0.0,19.0,17.0,0.0,20.0,37.0,1.0,39.0,12.0,72.0,69.0,25.0,38.0,45.0,57.0,0.0,2.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,37.0,89.0,8.0,36.0,13.0,74.0,56.0,85.0,58.0,3.0,56.0,41.0,96.0,29.0,22.0,938.0,683.0,914.0,1102.0,972.0,972.0,1064.0,890.0,895.0,559.0,831.0,1044.0,950.0,756.0,788.0,863.0,1896.0,2108.0,1843.0,2172.0,1908.0,1855.0,1951.0,1829.0,2059.0,1847.0,2074.0,2128.0,1877.0,1783.0,1874.0,1839.0,323.0,487.0,460.0,424.0,378.0,545.0,501.0,536.0,263.0,395.0,433.0,396.0,417.0,452.0,510.0,349.0,21.0,21.0,0.0,0.0,0.0,0.0,18.0,3.0,10.0,33.0,0.0,0.0,26.0,20.0,0.0,19.0,17.0,0.0,20.0,8.0,1.0,28.0,0.0,39.0,43.0,25.0,38.0,45.0,57.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,89.0,0.0,34.0,0.0,74.0,48.0,44.0,27.0,0.0,12.0,28.0,17.0,2.0,0.0,3210.0,3317.0,3326.0,3706.0,3293.0,3400.0,3608.0,3345.0,3325.0,2886.0,3376.0,3625.0,3355.0,3028.0,3174.0,3138.0
1670144,1165.0,726.0,905.0,1194.0,701.0,822.0,910.0,718.0,1059.0,1095.0,877.0,702.0,752.0,758.0,855.0,842.0,2629.0,2431.0,2611.0,2464.0,2591.0,2450.0,2162.0,2819.0,2173.0,2551.0,2405.0,2310.0,2555.0,2507.0,2309.0,2597.0,329.0,239.0,138.0,235.0,270.0,346.0,207.0,268.0,313.0,210.0,228.0,198.0,286.0,157.0,343.0,310.0,0.0,21.0,0.0,32.0,1.0,0.0,0.0,0.0,5.0,14.0,22.0,27.0,0.0,0.0,1.0,9.0,36.0,20.0,20.0,29.0,44.0,13.0,11.0,86.0,32.0,50.0,9.0,116.0,44.0,64.0,119.0,25.0,0.0,12.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,17.0,0.0,72.0,0.0,88.0,44.0,29.0,49.0,16.0,27.0,26.0,0.0,57.0,66.0,5.0,870.0,557.0,555.0,741.0,390.0,474.0,433.0,494.0,580.0,734.0,384.0,493.0,423.0,410.0,593.0,523.0,2108.0,2020.0,2061.0,1982.0,2071.0,2055.0,1737.0,2355.0,1849.0,2111.0,1903.0,1905.0,2058.0,2118.0,2026.0,2074.0,198.0,188.0,114.0,109.0,190.0,230.0,113.0,200.0,187.0,173.0,56.0,175.0,138.0,143.0,194.0,205.0,0.0,21.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,14.0,20.0,27.0,0.0,0.0,1.0,2.0,20.0,20.0,20.0,29.0,44.0,11.0,11.0,86.0,17.0,50.0,8.0,107.0,39.0,61.0,119.0,25.0,0.0,12.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,17.0,0.0,72.0,0.0,43.0,30.0,17.0,32.0,13.0,1.0,7.0,0.0,37.0,54.0,5.0,3234.0,2835.0,2750.0,2984.0,2696.0,2813.0,2324.0,3152.0,2665.0,3095.0,2372.0,2714.0,2658.0,2769.0,2987.0,2834.0
1670146,1227.0,1199.0,1293.0,1375.0,1306.0,1326.0,996.0,991.0,1243.0,938.0,1448.0,1321.0,1241.0,1023.0,1255.0,1066.0,2612.0,2212.0,2439.0,2516.0,2325.0,2306.0,2352.0,2236.0,2410.0,2458.0,2718.0,2623.0,2350.0,2491.0,2415.0,2381.0,699.0,506.0,747.0,613.0,444.0,610.0,508.0,400.0,558.0,604.0,482.0,615.0,591.0,531.0,529.0,687.0,0.0,38.0,0.0,68.0,13.0,10.0,12.0,0.0,0.0,3.0,0.0,11.0,30.0,45.0,0.0,0.0,55.0,55.0,89.0,15.0,24.0,59.0,63.0,0.0,71.0,17.0,19.0,23.0,52.0,0.0,26.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,23.0,88.0,24.0,16.0,58.0,76.0,52.0,76.0,46.0,94.0,49.0,35.0,73.0,28.0,7.0,832.0,860.0,664.0,817.0,813.0,869.0,695.0,647.0,821.0,680.0,1003.0,836.0,776.0,632.0,888.0,832.0,2069.0,1640.0,1916.0,2030.0,1770.0,1801.0,1764.0,1748.0,1943.0,1847.0,2034.0,1978.0,1856.0,1920.0,1807.0,1802.0,436.0,297.0,467.0,480.0,307.0,423.0,332.0,294.0,432.0,467.0,276.0,503.0,387.0,276.0,316.0,546.0,0.0,38.0,0.0,68.0,13.0,0.0,12.0,0.0,0.0,0.0,0.0,11.0,30.0,38.0,0.0,0.0,55.0,41.0,22.0,15.0,24.0,35.0,54.0,0.0,66.0,17.0,19.0,5.0,52.0,0.0,26.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,23.0,22.0,8.0,0.0,43.0,40.0,0.0,30.0,24.0,75.0,28.0,0.0,41.0,28.0,0.0,3402.0,2899.0,3091.0,3418.0,2927.0,3171.0,2897.0,2689.0,3292.0,3056.0,3407.0,3361.0,3101.0,2907.0,3065.0,3296.0
1670148,1818.0,1662.0,2012.0,1706.0,1724.0,1764.0,1985.0,2147.0,1882.0,2190.0,1683.0,2130.0,1946.0,2100.0,2031.0,1874.0,3567.0,3676.0,3641.0,3439.0,3612.0,3952.0,3803.0,3756.0,3677.0,3559.0,3551.0,3622.0,3787.0,3681.0,3856.0,3703.0,721.0,911.0,793.0,635.0,765.0,575.0,732.0,720.0,804.0,602.0,767.0,697.0,600.0,666.0,855.0,606.0,5.0,36.0,16.0,4.0,17.0,2.0,11.0,0.0,27.0,22.0,7.0,0.0,8.0,12.0,42.0,9.0,34.0,20.0,6.0,37.0,13.0,23.0,32.0,41.0,90.0,107.0,41.0,36.0,61.0,153.0,57.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,35.0,70.0,10.0,41.0,93.0,71.0,61.0,71.0,92.0,54.0,99.0,52.0,63.0,59.0,143.0,1101.0,947.0,1318.0,1172.0,1063.0,1203.0,1304.0,1270.0,1191.0,1343.0,1024.0,1549.0,1114.0,1252.0,1346.0,1112.0,2932.0,3172.0,2979.0,2804.0,2981.0,3268.0,3096.0,3095.0,2894.0,2997.0,2872.0,2883.0,3051.0,3073.0,3171.0,3013.0,497.0,614.0,569.0,441.0,500.0,322.0,473.0,412.0,424.0,426.0,543.0,405.0,379.0,511.0,518.0,404.0,5.0,36.0,16.0,4.0,17.0,2.0,11.0,0.0,27.0,22.0,0.0,0.0,8.0,12.0,42.0,9.0,34.0,16.0,0.0,37.0,13.0,16.0,3.0,34.0,87.0,48.0,25.0,35.0,61.0,142.0,53.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,35.0,32.0,10.0,0.0,56.0,43.0,43.0,0.0,66.0,9.0,56.0,15.0,41.0,10.0,63.0,4636.0,4820.0,4914.0,4468.0,4574.0,4867.0,4930.0,4854.0,4623.0,4924.0,4473.0,4928.0,4628.0,5031.0,5140.0,4658.0
1670150,1141.0,1115.0,1180.0,1048.0,1023.0,1122.0,1270.0,1222.0,1047.0,1141.0,898.0,1103.0,1173.0,1124.0,1079.0,1026.0,2291.0,2453.0,2280.0,2332.0,2368.0,2220.0,2358.0,2233.0,2396.0,2274.0,2211.0,2217.0,2496.0,2324.0,2191.0,2285.0,304.0,233.0,327.0,496.0,488.0,427.0,417.0,429.0,345.0,395.0,537.0,362.0,419.0,541.0,437.0,442.0,0.0,11.0,0.0,0.0,96.0,9.0,0.0,21.0,0.0,17.0,25.0,16.0,0.0,0.0,0.0,37.0,51.0,97.0,85.0,31.0,55.0,40.0,10.0,26.0,0.0,110.0,24.0,9.0,33.0,0.0,3.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,13.0,0.0,88.0,51.0,36.0,43.0,49.0,0.0,104.0,34.0,16.0,61.0,127.0,23.0,9.0,778.0,755.0,815.0,704.0,659.0,738.0,838.0,809.0,688.0,731.0,587.0,655.0,766.0,806.0,764.0,621.0,1823.0,1837.0,1775.0,1786.0,1820.0,1706.0,1855.0,1742.0,1820.0,1818.0,1763.0,1826.0,1924.0,1861.0,1691.0,1846.0,224.0,174.0,269.0,348.0,378.0,255.0,283.0,309.0,252.0,256.0,386.0,289.0,354.0,381.0,314.0,306.0,0.0,11.0,0.0,0.0,96.0,9.0,0.0,21.0,0.0,17.0,25.0,2.0,0.0,0.0,0.0,37.0,51.0,43.0,85.0,31.0,26.0,38.0,10.0,26.0,0.0,101.0,24.0,1.0,18.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,13.0,0.0,56.0,27.0,32.0,23.0,49.0,0.0,35.0,0.0,0.0,35.0,127.0,23.0,9.0,2973.0,2833.0,2944.0,2925.0,3006.0,2778.0,3046.0,2956.0,2771.0,2958.0,2785.0,2773.0,3097.0,3175.0,2792.0,2944.0
1670151,1367.0,1635.0,1360.0,1326.0,1393.0,1409.0,1360.0,1288.0,1318.0,1320.0,1268.0,1534.0,1404.0,1292.0,1557.0,1299.0,3514.0,3603.0,3577.0,3636.0,3433.0,3554.0,3592.0,3504.0,3550.0,3813.0,3578.0,3704.0,3646.0,3611.0,3532.0,3672.0,86.0,193.0,112.0,186.0,49.0,141.0,240.0,120.0,79.0,201.0,146.0,105.0,179.0,178.0,112.0,101.0,40.0,0.0,21.0,1.0,59.0,75.0,9.0,0.0,41.0,0.0,42.0,5.0,8.0,0.0,5.0,9.0,130.0,266.0,265.0,328.0,325.0,256.0,316.0,290.0,338.0,286.0,281.0,255.0,219.0,305.0,305.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,118.0,156.0,137.0,61.0,68.0,52.0,154.0,4.0,36.0,68.0,30.0,15.0,61.0,9.0,62.0,99.0,884.0,975.0,831.0,867.0,914.0,838.0,882.0,691.0,902.0,724.0,883.0,895.0,877.0,775.0,987.0,722.0,3010.0,3033.0,3122.0,3073.0,2983.0,3046.0,2989.0,2911.0,2946.0,3129.0,3073.0,3152.0,3100.0,3039.0,2978.0,3103.0,10.0,66.0,81.0,143.0,6.0,130.0,158.0,64.0,8.0,148.0,120.0,26.0,150.0,136.0,101.0,79.0,40.0,0.0,0.0,1.0,59.0,75.0,9.0,0.0,41.0,0.0,32.0,5.0,8.0,0.0,5.0,9.0,130.0,234.0,215.0,219.0,249.0,182.0,311.0,215.0,243.0,208.0,221.0,185.0,200.0,249.0,243.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,118.0,68.0,55.0,61.0,0.0,52.0,92.0,0.0,23.0,47.0,21.0,12.0,51.0,9.0,34.0,80.0,4192.0,4376.0,4304.0,4364.0,4211.0,4323.0,4441.0,3896.0,4163.0,4256.0,4350.0,4275.0,4386.0,4208.0,4348.0,4264.0
1670152,574.0,564.0,506.0,564.0,583.0,570.0,516.0,415.0,553.0,420.0,567.0,482.0,547.0,494.0,265.0,491.0,5196.0,4901.0,5099.0,5003.0,5055.0,5170.0,5197.0,5074.0,4802.0,5175.0,4950.0,4849.0,5250.0,5110.0,4915.0,5265.0,142.0,272.0,207.0,272.0,171.0,171.0,226.0,156.0,238.0,112.0,327.0,220.0,194.0,216.0,142.0,138.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,9.0,4.0,21.0,0.0,0.0,0.0,10.0,0.0,0.0,90.0,215.0,175.0,249.0,67.0,151.0,92.0,202.0,158.0,181.0,246.0,235.0,272.0,96.0,125.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,38.0,20.0,82.0,75.0,35.0,95.0,57.0,173.0,20.0,46.0,149.0,72.0,109.0,89.0,46.0,367.0,392.0,304.0,339.0,352.0,345.0,397.0,286.0,326.0,299.0,401.0,359.0,348.0,372.0,233.0,383.0,3990.0,3798.0,3846.0,3734.0,3796.0,3803.0,3910.0,3754.0,3663.0,3846.0,3738.0,3685.0,3900.0,3951.0,3825.0,4032.0,132.0,221.0,173.0,201.0,94.0,158.0,197.0,89.0,188.0,85.0,202.0,184.0,182.0,182.0,132.0,88.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,9.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,209.0,175.0,149.0,57.0,130.0,92.0,165.0,158.0,173.0,189.0,219.0,183.0,96.0,125.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,20.0,23.0,62.0,0.0,53.0,0.0,117.0,1.0,40.0,73.0,63.0,56.0,56.0,46.0,4599.0,4632.0,4518.0,4470.0,4361.0,4436.0,4649.0,4303.0,4456.0,4425.0,4570.0,4520.0,4676.0,4657.0,4371.0,4659.0
